movieId,imdbId,tmdbId,title,genres,languages
1,114709,862.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,English
2,113497,8844.0,Jumanji (1995),Adventure|Children|Fantasy,English|French
3,113228,15602.0,Grumpier Old Men (1995),Comedy|Romance,English|Italian|German
4,114885,31357.0,Waiting to Exhale (1995),Comedy|Drama|Romance,English
5,113041,11862.0,Father of the Bride Part II (1995),Comedy,English
6,113277,949.0,Heat (1995),Action|Crime|Thriller,English|Spanish
7,114319,11860.0,Sabrina (1995),Comedy|Romance,English|French
8,112302,45325.0,Tom and Huck (1995),Adventure|Children,English
9,114576,9091.0,Sudden Death (1995),Action,English
10,113189,710.0,GoldenEye (1995),Action|Adventure|Thriller,English|Russian|Spanish
11,112346,9087.0,"American President, The (1995)",Comedy|Drama|Romance,English|French|Spanish
12,112896,12110.0,Dracula: Dead and Loving It (1995),Comedy|Horror,English|German
13,112453,21032.0,Balto (1995),Adventure|Animation|Children,English
14,113987,10858.0,Nixon (1995),Drama,English|Mandarin|Russian
15,112760,1408.0,Cutthroat Island (1995),Action|Adventure|Romance,English
16,112641,524.0,Casino (1995),Crime|Drama,English
17,114388,4584.0,Sense and Sensibility (1995),Drama|Romance,English|French
18,113101,5.0,Four Rooms (1995),Comedy,English
19,112281,9273.0,Ace Ventura: When Nature Calls (1995),Comedy,English
20,113845,11517.0,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,English
21,113161,8012.0,Get Shorty (1995),Comedy|Crime|Thriller,English
22,112722,1710.0,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,English
23,112401,9691.0,Assassins (1995),Action|Crime|Thriller,English|Dutch|Spanish
24,114168,12665.0,Powder (1995),Drama|Sci-Fi,English
25,113627,451.0,Leaving Las Vegas (1995),Drama|Romance,English|Russian
26,114057,16420.0,Othello (1995),Drama,English
27,114011,9263.0,Now and Then (1995),Children|Drama,English
28,114117,17015.0,Persuasion (1995),Drama|Romance,English
29,112682,902.0,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,French|Cantonese
30,115012,37557.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Mandarin
31,112792,9909.0,Dangerous Minds (1995),Drama,English
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,English|French
34,112431,9598.0,Babe (1995),Children|Drama,English
36,112818,687.0,Dead Man Walking (1995),Crime|Drama,English
38,113442,33689.0,It Takes Two (1995),Children|Comedy,English
39,112697,9603.0,Clueless (1995),Comedy|Romance,English|Spanish
40,112749,34615.0,"Cry, the Beloved Country (1995)",Drama,English
41,114279,31174.0,Richard III (1995),Drama|War,English
42,112819,11443.0,Dead Presidents (1995),Action|Crime|Drama,English
43,114272,35196.0,Restoration (1995),Drama,English|Latin
44,113855,9312.0,Mortal Kombat (1995),Action|Adventure|Fantasy,English
45,114681,577.0,To Die For (1995),Comedy|Drama|Thriller,English
46,113347,11861.0,How to Make an American Quilt (1995),Drama|Romance,English
47,114369,807.0,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,English
48,114148,10530.0,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,English|Algonquin
49,114916,8391.0,When Night Is Falling (1995),Drama|Romance,English
50,114814,629.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,English|Hungarian|Spanish|French
52,113819,11448.0,Mighty Aphrodite (1995),Comedy|Drama|Romance,English|Latin
53,110299,49133.0,Lamerica (1994),Adventure|Drama,Albanian|Italian
54,112499,26441.0,"Big Green, The (1995)",Children|Comedy,English
55,113158,97406.0,Georgia (1995),Drama,English|Hebrew
57,113321,9089.0,Home for the Holidays (1995),Drama,English
58,110877,11010.0,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Italian|Spanish
60,113419,11359.0,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,English
61,116260,17182.0,Eye for an Eye (1996),Drama|Thriller,English|French|Spanish|Korean
62,113862,2054.0,Mr. Holland's Opus (1995),Drama,English|American Sign Language
