,collection_ids,collection_name,collection_poster_path,collection_backdrop_path,collection_movie_ids,collection_movie_titles,collection_movie_backdrop_paths,collection_movie_poster_paths,collection_movie_release_dates,collection_movie_popularities
412,207632,The ABCs of Death Collection,/fzrKAtcg75Je7N0NereOdKePHDM.jpg,,87436|193726|248781,The ABCs of Death|ABCs of Death 2|ABCs of Death 2.5,/ni9zaNf9pjpodVFkZio26wfM5wN.jpg|/81bEnqHu9jbPGpfW7LMZrfiZ5U3.jpg|/lgFAJA83tJSXupAIWcB0HThu0nZ.jpg,/9rAaRHk7GkYCxjOlBnJLC0kXrSy.jpg|/npN4yjO7MLg1ouMUF4VZ87ChiO1.jpg|/mmtQE4p3fZGnQFOEZ1x9tEM4hL8.jpg,2013-06-28|2014-10-02|2016-08-02,5.273|5.883|2.086
413,230161,Fright Night (Reboot) Collection,/j552uoYU3B45mIHLPBorkdoW0Mr.jpg,/9N1PbMkYJ5Zn2suUSHt38lAJnkD.jpg,58151|214597,Fright Night|Fright Night 2: New Blood,/kCPv7HlXXXDfm3QlCG93FS8wDY7.jpg|/a92ApOZHk9gkJ6nS2j36jiD84fF.jpg,/ySQ3v4Fzpy3fePs86eoLiDzwLYM.jpg|/hLS8fUivBfhDdLPBGbNno6PFnGU.jpg,2011-08-18|2013-08-31,8.143|6.413
414,535313,Godzilla Collection,,,124905|373571|399566,Godzilla|Godzilla: King of the Monsters|Godzilla vs. Kong,,/szVwkB4H5yyOJBVuQ432b9boO0N.jpg|/fc4vJLk4IK5bYFDD2kwFER0IJ9C.jpg|/cNKIpaOOXWdijlVDbSoHRl4JIIA.jpg,2014-05-14|2019-03-21|2020-05-22,18.579|7.445|1.754
415,8979,Wayne's World Collection,/pSzpPW6pYtqJq038okmxBBE5zmN.jpg,/o0FVB2mVYTIjTuu89tW98QGzZzi.jpg,8872|8873,Wayne's World|Wayne's World 2,/oge7Us6Sq08K2ydjmgkoLEu429.jpg|/uqLUeQR6wg80RMlcIbQQHIv8EDW.jpg,/ttv6BA0DOes1zXMnQSNXTGeGkdJ.jpg|/pBs9DuzWhqWX7vPjzB6AvAXKXzM.jpg,1992-02-14|1993-12-10,7.775|7.209
416,17178,Jackass Collection,/olpnvtLgoScLiCg3YHJ3f27F98f.jpg,/lidPLbyE1JCUacEDOzkTCncCPBL.jpg,9012|12094|16290|208134|65851|265065|14158|273641,Jackass: The Movie|Jackass Number Two|Jackass 3D|Jackass Presents: Bad Grandpa|Jackass 3.5|Jackass: The Lost Tapes|Jackass 2.5|Jackass Presents: Bad Grandpa .5,/GcWXLUFFvxnvOcQaBjb5f9Mid5.jpg|/1Y5YToEJkWhCHJsnMP0FyKxICMJ.jpg|/q7A6qCqmy6daaqGRm3Ee3NUC3xN.jpg|/qPxbuKexc8842G6rPrQb3PV9cKq.jpg|/uqq2Pdb9eWXQz0Fe8IMpDvbOutD.jpg|/hc68kg7K8d7SZE0rmG7zQ8jPRFm.jpg|/vcB1yzRxVQxsZrWS4uVxBz1Ia8Q.jpg|/hlCpFt1PwuG7M8WZufccTT57uUH.jpg,/iCB8mLrRoMp6sFta1qgZyZgmu9W.jpg|/tu4BZcdkAuah70ilVT30Wfo2HjF.jpg|/5j9VFEVjYn0FtqZGqDcmMPYSVoY.jpg|/9XJ1RICUVM8nxSHFphl5c6ZyQtH.jpg|/ppjN0BZaOJ6aHMXsECHJ0dpFb8Z.jpg|/p889RWdibuUXJuhCnfK5kBbsbeS.jpg|/jNSufmwIL6tsIOhTZ1FN47Mdf4T.jpg|/8EAzHKPtMqF16rMQdlzXhV6lHth.jpg,2002-10-21|2006-09-22|2010-10-15|2013-10-22|2011-08-03|2009-10-13|2007-12-18|2014-06-03,9.259|9.529|8.189|8.969|6.061|1.471|8.192|6.902
417,119581,Elite Squad Collection,/8ZRJCPuBnUTAu7HaFKth64mGYQg.jpg,/nNUFlXdj8JIV6HnjVS58r0qCvE7.jpg,7347|47931,Tropa de Elite|Tropa de Elite 2,/7hhmSkzktUm5GxuVUWXlJrVx81L.jpg|/oMaCjoomZ1ZvFX7sASAbcDrkxU7.jpg,/soOOLcNFRHCKf1WD6T8psUY5Xgi.jpg|/65Uy9xucPOAZDKa54RlojVyP24k.jpg,2007-10-12|2010-10-08,8.42|7.908
418,133923,Zombi Collection,/m3fDT3Pk9GwwOzNRgaT0UDeAL6e.jpg,/thmNPh9FbKrkVcKhDmVWhw92s86.jpg,7219|34814|5796,Zombi 2|Zombi 3|After Death - Oltre la morte,/rNfUrodyICg0cNJ4ICTiPgDckAm.jpg|/4e3oyoB28IoerqNEQXMcIsLnOEi.jpg|/fMr7gdEFGTI7XZIKJGnold1aSt.jpg,/wew8A4gTZEhSRKCBAmziFFK6gGi.jpg|/jawfhUNHp0v11RNc9t4yJUJkcyt.jpg|/plLqxsjhR5s3MgizmSCUvfkxGtR.jpg,1979-08-25|1988-07-29|1990-07-27,5.921|2.559|1.013
419,211753,Caprona (Amicus) Collection,/ltMYLLICwtORAdnXKGex213amhJ.jpg,/rmvHqa6mkZZsAJuaeU1R1Q7hKG9.jpg,27085|27591,The Land That Time Forgot|The People That Time Forgot,/aXurrinBoBrS8e3ThpwdylLAWhy.jpg|/d4v3uXpAiMzzI8cdhFyIQkmcg3f.jpg,/wUlk7qYAmDicYXQ9uMVP0F2OMZ4.jpg|/rk1YR01NPLeuErRhkRmCmDdyGAF.jpg,1975-08-13|1977-07-06,4.927|2.561
420,269098,Police Story Collection,/zF4gP4w1xxM7jDKLjTDK3ixkkms.jpg,/5qbfJzkMAUkFxcVo0dqnTRmpUoh.jpg,10753|9056|11134|11636|9404|219572|38955,警察故事續集|警察故事|警察故事 III：超級警察|新警察故事|警察故事4之簡單任務|警察故事2013|超级计划,/uTf1UAK1APW0ADrE1WP0ynYXEdb.jpg|/s13r8sB2v0upTWZ9yeNtfPlfaPo.jpg|/ic450gLSYFUGb5Gxv39YXOqOGOP.jpg|/llII7YgUqtBbIl8Rkoo8JC56bqs.jpg|/4S6V50j660qL3vDH9IBAOs9BZg9.jpg|/qXsy8GwqI3yDpxMPdBI2YCwjljn.jpg|/c6JwcMcobTmJ45nJB7mH7HqSgIg.jpg,/pZGHHYYoaVxtvR8c9uUUShSQAz6.jpg|/eNZ5WXuMhmIGP5n2tfNk6WrFpuA.jpg|/sw94gRwWJf1O4uMFHmDyZNXJeIj.jpg|/jUt1kFdzwXa1gYYk9jpZ2bHU2Fz.jpg|/iCYOG4Frby328azRDJwKgKScgp1.jpg|/yxYlAqBA3EjQwHFtGfb03ztfJmC.jpg|/fkytEZtIL4HhBg2S3w0doeLS0PI.jpg,1988-08-13|1985-12-14|1992-07-04|2004-09-23|1996-02-10|2013-12-24|1993-10-21,10.431|11.234|11.772|11.105|9.698|8.757|3.293
421,166698,Westworld Collection,/cezpGxSMDsWjwrS7VwMqZ5N4Ay8.jpg,/3yzaSCXO8cT7Q1tgCsmf8ypSxRI.jpg,2362|10640,Westworld|Futureworld,/ut1svoui5yDO58PoSV7BC00udpj.jpg|/5f0VCsSmMvv8TcwX5HfLGcICuch.jpg,/cOJsaT8jEmG9s1MziVIPpHBRpQ7.jpg|/iEjhASpXJ1nLNT16wQCJYOAyn1.jpg,1973-11-21|1976-08-13,9.259|11.197
422,531242,Suicide Squad Collection,/377PpA9qCKrKZA0V3i7F4xTdkgV.jpg,/jxWpUDJoXQII0fvaTLqn0bw1C7p.jpg,297761|436969,Suicide Squad|Suicide Squad 2,/ndlQ2Cuc3cjTL7lTynw6I4boP4S.jpg|/bYcJoCOitt4renJKvOIyk3OF6P6.jpg,/e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg|/365chZfMWzmEUGUgPrwZBnIlizY.jpg,2016-08-03|,16.781|2.01
423,357173,Sinister Collection,/uun1SgzxdQx9YIPyepoLE3ePxQh.jpg,/4JASyGk5suaz4xwMp6irzg334k6.jpg,82507|283445,Sinister|Sinister 2,/lAdRfK0Clun517bq5V0meoIx7SG.jpg|/iQY3kJ2oqHqmcSm32xPfkFF4xW9.jpg,/hrRYY7FcRc46Ue7h9jcKiW1xqJ3.jpg|/AeJYo2wLVL6NpkHxpWIptGbQD0N.jpg,2012-03-29|2015-08-19,9.705|9.702
424,330555,Ernest Collection,/aH32Y3bzp9WEpaL7qVH0HMQHZO4.jpg,/vTlcbHNWrAf77AZFDZ9yCjHm8ag.jpg,18935|34600|18943|39128|34300|26386|32685|39129|20551|263387,Ernest Goes to Camp|Ernest Goes to Africa|Ernest Goes to Jail|Ernest In The Army|Ernest Rides Again|Ernest Saves Christmas|Ernest Scared Stupid|Slam Dunk Ernest|Ernest Goes to School|Ernest Goes to Splash Mountain,/zaGpUYcGCILfDSUmVydK2bqiqHL.jpg|/7vV8JeW0L35mC2DwczHtfJkLjJ.jpg|/mv6CWyDdhv9ABXh5rLgCoaz17RB.jpg|/ob6EbBIrRLx5D4LZmdNfz6eTi3R.jpg|/hDDDxD9ERsx1mPmAtHG8EnZ25uz.jpg|/kDmCW7qWEEhi99FAnJEdTBWmNy1.jpg|/5Rz3Sm6jNSYRVwoHdDCJsdHGCkE.jpg|/8nO3GGFJloIcrUxoUavOUyANXfo.jpg|/abHgETrV3xOEsfKt7E1kCVhkBr6.jpg|/rRlOJNZg0VJQ6myez2wGiywyzPf.jpg,/dPgriKpEFld6FNSFsRWvNg53MY.jpg|/q2G0EXXgOWJLyi2buDXcFTO4o15.jpg|/3tbX8ZjsHjAIeUSwnJhMh7xQ6dB.jpg|/6eBNyqAL2H0e1FZg3qQkXFtnldp.jpg|/yJtkKhm14q2mOfZvDm2EuAIgd0L.jpg|/pL1KVfAei3i5FAgysbPiE1MUW6L.jpg|/6iYlS2bOYIJOELQnW7Rr2Vv8zg0.jpg|/aZsn0JAWsaDsmhCVVWQC27S1jA8.jpg|/9yfXHHySBsWClyLLMPnckW1EUxk.jpg|/kYgJs9lVYhJbMdUkYwZm3CbaRpy.jpg,1987-05-22|1997-01-01|1990-04-06|1998-02-24|1993-01-01|1988-11-11|1991-10-11|1995-06-20|1994-12-14|1989-07-07,6.259|1.96|5.306|1.627|1.639|5.368|5.819|2.238|3.348|0.6
425,25410,The Art of War Collection,/8VJpn8DZwZvKnyA3HBfQfjGKupG.jpg,/9G3CBEg7QlQ9MQcNgA5IwcghNYO.jpg,11398|13988|24756,The Art of War|The Art of War II: Betrayal|The Art of War III: Retribution,/ksboR1WDSRXjEDjcuKifPI9QSGz.jpg|/6UrhmzM9cBLcQsUOaAg1VZi7Mnu.jpg|/bKVrpKkyxQr3dFFn4qXaaR17xab.jpg,/oKj3DNThu3525pox53lxT9RG0F5.jpg|/rh5uGYrudCO4v6i6cXyz249JUao.jpg|/78CTjTnv9ppdOK1GhqznDJxwB0r.jpg,2000-08-23|2008-08-12|2009-01-01,7.262|4.771|2.026
426,2883,Kill Bill Collection,/tf1nUtw3LJGUGv1EFFi23iz6ngr.jpg,/oCLKNACMNrEf4T1EP6BpMXDl5m1.jpg,24|393,Kill Bill: Vol. 1|Kill Bill: Vol. 2,/kkS8PKa8c134vXsj2fQkNqOaCXU.jpg|/33WfP01Pu8SMuuHYnoJXMRCMtmI.jpg,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg|/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg,2003-10-10|2004-04-16,19.347|19.512
427,144200,Swan Princess Collection,/gTDPdkPuJjAKLL8pjXfXR0zVBDs.jpg,/wxKt5KHvMYUSLHvyPf2xj64y3dJ.jpg,22586|54113|28302|141102|254263|414223|443484|510096,"The Swan Princess|The Swan Princess: Escape from Castle Mountain|The Swan Princess: The Mystery of the Enchanted Kingdom|The Swan Princess Christmas|The Swan Princess: A Royal Family Tale|The Swan Princess: Princess Tomorrow, Pirate Today!|The Swan Princess: Royally Undercover|The Swan Princess: A Royal Myztery",/hP9dsGy8FR7eeTqzpOpP3tl3wFD.jpg|/3mhNnNmfCGrjyVEZhjWRVcjMOSi.jpg|/8xtZazqe2PjuWzwsLYxEIhXW1mN.jpg|/wksHb1ZYGntSsbl1cpE8Xexfoqb.jpg|/7V06IJAO9GPbC3zwaqwhiRsLZwA.jpg|/pIhdWhVdkwJhhxeKbbjF5i0Z0Zg.jpg|/3fK8UaEJzgi1SZwHZVA5Jbo2GxR.jpg|/kxvLuWATCIIsSKiAkeVz0cSLYvy.jpg,/lHx67Tg3vrMi0EveONGoREyTGRk.jpg|/oTEgvTpAIugS7OH6oIoVZkmV3C3.jpg|/rkxHoQVIdZnO4t0GMOsmduMWkLm.jpg|/xGYZ1aC7ihaYOD9UX5BHGjPoHSq.jpg|/b2A0ZhbvIv4Khp5AHt8KeoyMuWc.jpg|/spJNyS924musoF3Sek7LX9eLBtU.jpg|/yZDePc6NwkwBdrWejjBCG8AWoYF.jpg|/ljktBZh0wM8yVZcgMt3i43sjkdy.jpg,1994-11-18|1997-01-01|1998-08-04|2012-11-05|2014-02-25|2016-09-06|2017-03-28|2018-03-27,11.333|8.428|9.072|6.115|4.647|3.041|8.95|3.321
428,123720,Frankenstein (Hammer Series),/p0KHQiCZCYjjksOVjyseO9BByFT.jpg,/gl9Gi60C9WYVkObOMll19OROhMC.jpg,3079|3127|3124|3104|3075|3117|3145,The Curse of Frankenstein|The Revenge of Frankenstein|The Evil of Frankenstein|Frankenstein Created Woman|Frankenstein Must Be Destroyed|Frankenstein and the Monster from Hell|The Horror of Frankenstein,/jBidAzvvwYWQMm5dxZwA49vErns.jpg|/6AoqlNIjbiCLhJ3LU374PLQ3Y7m.jpg|/4AjfaDM9BALkm4RFFioKfUu8oLd.jpg|/nmvcPn7Dz8B6yWMR4eewS2ISPiR.jpg|/nA8qapURhkTI2Ff3XB5fpXhNri8.jpg|/vtlQRFlfDibyw9AfKLz8fmuV6s6.jpg|/uaAfpx4JTeZs8K8DHmg7P9ptIf7.jpg,/f4dwXdeZFHzLKMNgKGe46RWsMmM.jpg|/3SKLAELeQFislTtdXF9r1aVp4a7.jpg|/ck7aPQ4Rudvm6wbQxlVcUwSNonL.jpg|/s95WohDSxZ0WyCQn8fzS92ZN8Xv.jpg|/cbz9iYGuMXOxKHlonnKD8vqxa96.jpg|/8PuTDNLqFrzC3YGFyULiXOsDPwz.jpg|/1iYeFFgIW5RaYPvj3fHruQBzIlR.jpg,1957-05-02|1958-06-01|1964-04-08|1967-03-15|1969-05-22|1974-05-02|1970-11-08,6.689|4.194|3.166|3.576|4.239|3.495|3.588
429,31562,The Bourne Collection,/cagvGev72iUM9FVplnv9nSqBXK4.jpg,/vA5xMglyZv7yzDTj1qUTU4OvelV.jpg,2501|2502|2503|49040|324668|393640,The Bourne Identity|The Bourne Supremacy|The Bourne Ultimatum|The Bourne Legacy|Jason Bourne|Untitled Jeremy Renner/Bourne Sequel,,,2002-06-14|2004-07-23|2007-08-03|2012-08-08|2016-07-27|,14.671|18.366|13.042|17.009|18.156|0.916
430,95051,The Up Series,/nLIBjyGeV2TMiv82MmKq5zX9DhG.jpg,,51863|50754|20553|20561|20562|20565|13365|116167,Seven Up!|7 Plus Seven|21 Up|28 Up|35 Up|42 Up|49 Up|56 Up,/awpuzUzPMqs3kFK77GgkCO1WVCL.jpg|/gtYyD6PsXxQwxKpMLDdrQyP2U3H.jpg|/qHDoQVqxDijeAWLwTuAwDu7hZXw.jpg|/b96Bcxjxl7ATglCXbLxwlIc7zHT.jpg|/7SyrRf1b7rFk04TyobK92j9nleT.jpg|/4KEmPZ4X1X1pDsdvwLEozABuD0R.jpg|/gPaqNwFSdR8DPXzkslTW2KrHMBT.jpg|/kenir8OSC2gn5amaqykLSqClwOD.jpg,/1AZ6JCyeONTsBXYXfUPwuTD2ljx.jpg|/1XmhSLNK1oUgk7fYIQQxK83wZhT.jpg|/3tcGvmyXTKcsX6gPXzITsir8msz.jpg|/hJPb7hrRsPyZ4YtYOIXu1K1ibUm.jpg|/aBctUbgVjNSq58jqidDeX2qvZMB.jpg|/fcOziYVE7iGW3H7tM4yLod4ExvK.jpg|/mQsjChtr4sP5f62GQFufjnTUjkb.jpg|/32tZc2nndes6xKDHR7sBibIEzZ7.jpg,1964-05-05|1970-01-01|1977-01-01|1984-11-20|1991-08-29|1998-07-28|2005-09-15|2012-05-14,1.813|1.394|1.902|1.395|0.688|1.547|1.252|1.1
431,86860,Scooby-Doo Collection,/YAuhbJKSG1R42QHJmbGsNQ80Fd.jpg,/aj598PG0VipBkiQXtikXdX5jRR4.jpg,11024|22620|47533|9637,Scooby-Doo 2: Monsters Unleashed|Scooby-Doo! The Mystery Begins|Scooby-Doo! Curse of the Lake Monster|Scooby-Doo,/2vRVzvqY0tydcStBkNn73JPPOPL.jpg|/3jE3gnKy7VWlGayG6lRpLjVp3KT.jpg|/859LyghcvsJf9HQRD7sFl2KeKQ6.jpg|/pWCWxPiyy8vW6wPsKVruad9fV9Z.jpg,/vEp6qw25qY2n03O9EaeiWNv89vb.jpg|/fUbx2NFwRTmRMtwcTbzEd804WQj.jpg|/4fvCOntbgzZ9crbduTHRhgN8bgq.jpg|/jnhGTpAdwqxicXIzrAK4QLInQgl.jpg,2004-03-24|2009-09-12|2010-10-15|2002-06-14,12.483|9.79|8.428|12.226
432,123724,Dracula (Hammer Series),/n5SozLvdQZ7cYJb22ZIwNw1DzSg.jpg,/hybYYwBqaomfePU3uaiJfpg7ykC.jpg,11868|23220|17102|29778|29748|34479|33020|35669|26480,Dracula|The Brides of Dracula|Dracula: Prince of Darkness|Dracula Has Risen from the Grave|Taste the Blood of Dracula|Scars of Dracula|Dracula A.D. 1972|The Satanic Rites of Dracula|七金屍,/8Fi5uAQeOEKbgSYBnmN4FoIrO6O.jpg|/9OMSEzFWrqBNlF09DefYuGrFJqJ.jpg|/ytWOlwgnNotY4PfFfTfxy9WiGGk.jpg|/jejRXH3WnpVRGwreoz40u0Wf0rU.jpg|/43bbFZzKINzfCshCa3w8ciG2I5a.jpg|/n8QxwRDCMmxpf4lFlS9V0QEj65b.jpg|/hg70AEDFKI0vStxQ2e8hJoQ8T9v.jpg|/i1v4ozDC2e7hVqBzR9VoPt7VXAh.jpg|/lGjrTjjxtzioyPcTJztZUiPejAu.jpg,/1L45hwUu1P4NRhbRRrE5d9oHamm.jpg|/zO3v1I1CEGVoerS1nD0wTMULr6d.jpg|/AcrStPFOuXhOTXmJ6uf6V89cnke.jpg|/wXGiLm7bNXJi2gebnVrwQ6Jxe0e.jpg|/rAjadi01hFHqIi4wdBvlzWorg9N.jpg|/oePH4PP5EonJP7taMl1C6X73PuD.jpg|/9H9wjdGUfJYEV88gPc7kre3gNlv.jpg|/7gjrXE3bI0W2CVw92b94I2qoUYb.jpg|/gidYW1wR6Gd0TS00Dn3Np5l77VO.jpg,1958-05-08|1960-01-01|1966-01-09|1968-11-07|1970-05-07|1970-11-08|1972-09-27|1973-11-03|1974-07-11,7.953|6.593|6.042|4.15|3.288|4.971|3.679|3.488|2.96
433,123726,Quatermass (Hammer series),/skk1tmdHnvySB8kADEtoOActyOc.jpg,,24580|26278|26912,The Quatermass Xperiment|Quatermass II|Quatermass and the Pit,/3puBH61IH4MZgwIwpMY9CE7x6FL.jpg|/A0JUHtVPgDYOMYTPBSrJpJYaYro.jpg|/8Yr62vCEsEaXHFQyGD124pIEwRY.jpg,/lm6cQiUjJ0AUUqESI9WWM7veIbp.jpg|/nRvZWgwwgZfzouJeMCUQ9P9mmZm.jpg|/kgMCxzKx2ZUtN0UUyJR88vqpfT2.jpg,1955-08-26|1957-05-24|1967-11-09,4.32|4.145|6.122
434,209739,MacGyver (TV Movies) Collection,/AjdtAeXaqNQn5gW86obHsNsAJzk.jpg,/dMrINu0WxlNzU11y8OcWxtoeWqY.jpg,13632|81895,MacGyver: Trail to Doomsday|MacGyver: Lost Treasure of Atlantis,/9myHmRXEl5FQmet4TjWSz4055TM.jpg|/9myHmRXEl5FQmet4TjWSz4055TM.jpg,/3uSzCU0CtigQI0W2EcovoVcKAuJ.jpg|/v7IlA1BfGIvG5fPkn9P8eO9IZP5.jpg,1994-11-24|1994-05-14,3.767|2.533
435,201548,The One-Armed Swordsman Collection,/50Aw7CD6qBDs84i2hOzpVNz0uGi.jpg,/jkfVJr210HcEVpkgczDZeJVVJrm.jpg,54178|48300|28039,獨臂刀|獨臂刀王|新獨臂刀,/okBXjpXDGneV4FRO8GbppZU9tg9.jpg|/dmStiuzU32ZvXO7Z43OHq6OzG9P.jpg|/53jrxDWl1OchOSXGrKw5nngtQi9.jpg,/bK1vScxHZlAZu5Vu5nG2H0mAMPg.jpg|/c2sDDBerCgu1x9SzoUR9ePHkGYT.jpg|/fFZqGnZ0Uoo9uE5f66GytmOVZGC.jpg,1967-07-26|1969-02-28|1971-02-07,3.164|3.646|1.714
436,17235,Hellboy Collection,/81B1OdGY7f3TVN06eKra25vHzYk.jpg,/i6WF7cYiogl8g5ryZDbZBw8RNVN.jpg,1487|11253,Hellboy|Hellboy II: The Golden Army,/13DIK3beAoroeJSdrcYm66s6hal.jpg|/xqbQsBV9j5UPTRzKf5fmiIj02Uz.jpg,/3fAWzI9MUosggdGMu7EaDhn44m6.jpg|/fFcZqnWDeQsImDAAIyAimc3SGEl.jpg,2004-04-02|2008-07-11,18.711|13.972
